# Dataset for pandas demo
Symbol	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45
ACTN1	13.23047864	13.15119671	12.77280013	11.89119679	11.72934331	11.7863153	11.72209286	11.42281495	11.6884377	11.45537042	11.5897494	11.46166299	11.34554726	11.22504266	11.4281811	11.90756845
ACYP1	10.76794043	10.5320013	10.61002663	10.65271348	10.10374161	9.866848482	9.977691401	10.1463778	10.08184949	9.965205669	10.0142605	10.12441632	10.04619432	10.06653108	9.961002392	9.945032244
ADA	10.3149196	10.51865213	10.55716239	10.3965806	9.741041449	9.731055372	9.640845039	9.65346415	9.575255958	9.43338272	9.452147417	9.400141488	9.448165603	9.488404969	9.532998879	9.404245107
ADAM19	12.28474546	11.99721262	11.3852569	10.44948848	10.26756679	10.00707029	10.19492132	9.85290834	10.46196412	10.47095812	10.83135693	10.61533632	10.64820115	10.65404857	10.61335938	10.52478965
ADCK4	9.686163609	9.504273028	9.460880801	9.905088174	9.823005112	9.975662334	10.02156159	10.20713077	10.09409117	10.1686851	10.24126047	10.19568662	10.30700256	10.13050327	10.43688032	9.866230397
ADCY3	11.82226911	11.89622928	11.61849633	11.52316314	10.55187187	10.31149833	10.172793	10.15403258	10.07832003	10.21132384	10.05948506	10.18790129	9.920810288	9.953198406	10.11394278	10.07361496
ADCY9	9.647030835	9.673486056	10.22965303	10.66348354	10.64631101	10.91351995	10.79523627	10.81662901	11.07733237	10.90700973	11.14508283	11.18911969	11.32036837	11.18392664	11.19182116	11.34119519
ADD3	9.951809947	10.25626714	10.6596202	10.80228296	10.76568302	10.99513342	11.25270611	11.12874118	11.30066848	11.33444124	11.21777359	11.23532625	11.30548349	11.26645764	11.31686474	11.3273808
ADH1A	8.361994492	8.827013289	9.378511432	10.56618037	10.25655542	10.40717229	10.7658869	11.1217471	11.49356565	11.77101084	11.68737949	12.11445321	12.00989558	12.20430016	12.26242585	12.55025484
ADH1C	8.209848647	8.367907616	9.104123242	10.06229994	9.829055128	10.21379995	10.53041852	10.70763525	11.25229222	11.37070457	11.44501159	11.78694958	11.79358806	11.93963875	11.77548461	11.92625475
ADHFE1	8.228085377	8.498377707	8.632596551	8.963815872	9.114896562	9.052837275	9.14797907	9.449785493	9.843754575	9.899842352	9.944517819	10.04787339	10.02485793	10.02981648	10.04011714	9.848572936
ADM	11.50916518	11.14895773	11.05034565	11.18341865	11.17898645	11.0216698	11.05843607	11.0875111	11.33784977	11.59091271	11.47384391	11.43860898	11.64314663	11.76017446	11.7090702	11.96375645
ADPRHL1	8.788873289	8.89076952	8.974863943	9.29918522	9.25940709	9.543190456	9.317910627	9.410855622	9.765434546	9.708043787	9.630086857	9.612774822	9.470966654	9.59011276	9.630901644	9.322089766
AGPAT2	10.68658561	10.84401798	11.08344761	11.40069964	11.2569686	11.32627225	11.3197368	11.39692914	11.41544732	11.52148502	11.55126689	11.56919765	11.63851466	11.63802424	11.72691759	11.15746871
AGPAT5	9.180107702	8.97590925	8.623024381	8.286846493	8.394944829	8.395804012	8.471386943	8.356184811	8.193698787	8.317500934	8.293620753	8.248505383	8.453302199	8.152711142	8.244187455	8.233643704
AGPAT6	9.54443633	9.625103039	9.175358562	9.09408659	8.747481701	8.622782169	8.870059605	8.654046029	8.956524265	8.981700444	9.000771028	8.876624343	8.849612245	8.623751034	8.591700223	8.675274374
AHNAK	12.06186142	12.13673133	12.36918021	12.62413623	12.25819471	12.49370647	12.65803592	12.58986158	13.06357108	13.06914171	13.10900712	13.14690194	13.39468313	13.2764669	13.22715173	13.17878259
AK3L1	12.17800675	12.11382468	11.89570146	11.21440098	10.88233208	11.03185999	10.82211645	10.84632909	10.83561706	11.04177774	10.8863418	10.82332035	10.62706413	10.86806591	10.80391371	10.8863418
AKR1B10	10.45439949	10.67384	10.38683712	10.04224962	9.196685933	9.204255888	9.165978619	9.158943277	9.392635134	9.289816599	9.227513076	9.086427705	8.636647444	8.590518747	8.798132741	8.557700469
AKR1C2	14.4007247	14.47334336	14.2815648	13.970599	13.81201165	13.68002828	13.75380675	13.58086351	13.49649082	13.43600218	13.46174924	13.32561338	13.14129809	13.27121613	13.00228676	13.20605209
ALCAM	13.15119671	13.27200754	13.63682326	14.05992506	14.13888829	14.46949002	14.8359519	14.8174303	14.77364523	14.82571935	15.02725402	15.15197126	15.26696634	15.13535645	15.06914666	14.42557439
ALDH1A1	9.097249151	9.243818788	9.406186101	9.363751279	9.300491038	9.398224876	9.759588969	9.780465741	9.892864323	10.03511348	10.01184719	10.15273598	10.05052135	10.15435548	10.06934796	10.06229994
ALDH1A3	14.61664219	14.52817112	13.92231126	13.90070522	14.17918517	14.38011708	14.31594538	14.25254622	14.60677779	14.68533103	14.73517069	14.56953022	14.90101365	14.84261136	14.91324454	15.01651882
ALDH2	12.94966534	13.07773234	13.33280605	13.70590632	13.50866883	13.66145612	13.71469308	13.83284955	14.39373774	14.44851235	14.36095613	14.55306064	14.68533103	14.73013847	14.79397678	14.54709828
ALDH3A2	11.59713551	11.63693954	11.98854546	12.15585701	12.37649856	12.54558088	12.40208415	12.3743106	12.52714225	12.60362344	12.5594776	12.51026872	12.21235936	12.25216048	12.16855203	12.35360241
ALDH3B1	8.776044395	8.996132629	9.089681438	9.21707204	9.11532673	8.970859516	8.980990156	8.84637288	9.788517618	9.647030835	9.949824438	9.921820507	10.05988326	10.01525493	10.17173778	9.67322222
ALDH3B2	11.78824875	11.85425333	11.91655105	11.93377852	12.17023067	12.3249422	12.26067585	12.24276063	12.10719498	11.97772345	11.96495553	11.86366934	11.86941786	11.78410555	11.75225988	11.39070745
ALG3	13.14965162	13.06212002	13.05669069	12.86086682	12.86086682	12.56201421	12.46394393	12.49334972	12.46071582	12.33410187	12.57816071	12.5245899	12.35710529	12.42887697	12.38870714	12.6358646
ALPK1	9.141067648	8.987424489	9.572600951	9.875620062	9.924299172	10.02231805	9.96046024	9.895696328	10.08120138	10.03557552	9.87704016	10.0705729	9.921356433	9.843754575	9.79560891	9.758255664
ALPL	8.702100438	8.778420307	8.933452358	9.136818209	9.144552925	9.429975045	9.546355089	9.701695502	10.11566973	10.23089202	10.22016833	10.33360344	9.8514563	9.876732417	9.67594614	10.17845382
ALPP	11.81401095	12.02832072	12.56546272	12.37457144	12.24342095	12.75259375	12.66910187	12.49802366	13.18947591	12.77959475	12.92813159	13.03430079	13.28375207	12.89397918	13.01944455	12.84012065
ALS2CR4	11.60907263	11.54817084	11.52654798	11.37547165	11.07307355	10.80528313	10.89030827	10.95291389	10.86518953	11.10757533	10.96721252	10.71032413	10.66386654	10.49211861	10.48535314	10.5498533
AMPH	9.202261807	9.11068783	9.362057525	9.063548181	8.109835296	8.392289205	8.32549207	8.30327913	8.361484622	8.408339946	8.386419911	8.251769579	8.215268794	8.071558155	8.261741042	8.241000079
ANKMY1	9.762037109	9.697034652	10.13666296	10.45558593	10.47624616	10.38541283	10.32674666	10.40886264	10.62227599	10.68581478	10.55759315	10.62430725	10.82413299	10.7682948	10.91735613	11.04555747
ANKMY2	10.45892122	10.49937559	10.48679185	10.8517529	10.68484454	10.82610512	11.02912415	11.1304037	11.13406209	11.31557017	11.1230629	11.1982033	11.28337745	11.28922742	11.04464315	10.94960278
ANKRA2	10.23089202	10.60340148	11.21161854	11.49564422	11.12700032	11.24066163	11.14618998	11.23195036	11.62251978	11.68233944	11.62412027	11.52226643	11.67206272	11.66562938	11.6473248	11.61257236
ANKRD13	11.50217325	11.87636399	12.17654749	12.8185715	12.89878856	12.98208374	13.21694592	13.20932121	13.32939785	13.47027039	13.45686673	13.47679612	13.55630205	13.59593684	13.59988023	13.42863973
ANKRD22	11.25317812	11.16147822	10.53279995	10.48794409	10.19920969	10.32425803	10.35645953	10.2569368	10.41971127	10.66288288	10.6199693	10.35067768	10.37270873	10.40646712	10.44726065	10.24674515
ANLN	11.41448229	11.38154359	11.25654809	11.20203627	10.5219859	10.60024345	10.61584414	10.37542441	10.92465567	10.83795362	10.6149356	10.30235079	9.515303573	9.477896651	9.427734197	9.382387391
ANXA9	8.468150411	8.370474885	8.396008862	8.642935052	8.349363812	8.270330812	8.318093714	8.604753408	8.99585729	9.041760422	9.265890635	9.242082006	9.201962255	9.228240899	9.500991249	9.003685734
AP1S2	8.790962371	8.672629322	8.75257528	8.669321038	8.556690841	8.482261978	8.306807081	8.277044556	8.062055596	8.118733805	8.088852889	7.996659579	7.851028403	7.723498964	7.760545054	7.866276087
APEX2	12.02832072	11.68775486	11.35662485	11.28489036	11.39678151	11.25123751	11.32524482	11.27967545	11.27087246	11.28590691	11.29591643	11.19965019	11.35927783	11.28531799	11.34119519	11.06371912
APITD1	11.01217017	11.26534391	11.31119721	11.18827306	10.60830701	10.5277793	10.40591877	10.36688028	10.44486261	10.42906005	10.49502126	10.46217516	10.31261927	10.2949312	10.33664724	10.43332146
APOBEC3B	12.53840458	12.82290943	13.11715204	13.26579286	12.63262594	12.63953029	12.68392298	12.74632248	12.96895748	13.01374853	12.71150722	12.62602667	11.91126523	11.52879521	11.70252747	11.71687104
AQP3	8.388274419	8.219095018	8.311049271	8.901498077	8.786636808	9.150429379	9.219300937	9.363751279	9.104123242	9.466137321	9.501896408	9.647335342	9.760671464	9.724683171	9.774887084	9.921820507
ARHGEF19	11.01526138	11.09223773	11.05781533	10.70493541	10.45054321	10.30652399	10.32717196	10.3170936	10.53423616	10.24001015	10.39600631	10.57868212	10.45489759	10.49852975	10.44806009	10.54114538
